Blog	four	looking	second	here	k	music	until	example	want	feature	hot	wrong	series	re	wasn	service	needed	project	tech	release	result	best	country	asked	life	things	had	easy	possible	right	old	people	o	support	call	happy	inside	time	team	along	working	awesome	such	years	course	didn	internet	million	quite	open	city	future	say	saw	note	take	knew	drive	slow	going	where	jobs	many	wants	photos	technology	being	rest	around	traffic	world	power	favorite	image	her	gone	am	having	original	tv	th	large	small	past	hours	action	via	company	science	states	its	always	found	really	research	major	self	also	play	plan	sometimes	set	see	available	last	whole	community	recent	person	using	couple	d	continue	anything	into	link	line	posted	us	ago	age	code	results	try	video	let	great	involved	makes	tools	next	process	high	move	latest	could	put	david	system	face	fact	should	hope	stuff	edition	email	etc	co	ve	vs	off	web	government	five	become	does	software	doing	much	problem	chance	worth	above	told	word	work	interview	after	fan	office	then	them	network	another	do	away	terms	com	air	hand	photo	thanks	night	security	comments	months	way	update	together	global	cost	change	market	live	car	means	write	product	remember	still	half	now	year	happen	space	shows	care	yourself	friend	than	browser	online	price	america	only	between	comes	these	media	thinking	real	read	early	amp	business	aren	start	lot	trying	building	since	month	very	family	takes	finally	taken	site	history	help	soon	actually	android	event	issue	reason	ask	launch	american	mobile	less	pretty	during	x	won	probably	both	else	look	while	ready	used	uses	user	love	game	popular	run	works	within	doesn	youtube	go	facebook	click	following	products	win	announced	started	meet	control	links	including	him	front	completely	times	exactly	need	able	based	she	key	well	page	twitter	home	he	companies	likely	even	ever	never	tell	give	answer	third	before	personal	better	weeks	went	side	mean	content	isn	features	mind	seen	seem	don	m	points	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	deal	dead	down	daily	did	box	visit	making	may	mac	man	maybe	talk	seeing	nbsp	group	interesting	morning	living	thing	think	first	long	little	anyone	were	especially	show	data	behind	black	over	get	nearly	enough	reading	across	according	those	sound	different	pay	same	running	money	audience	either	images	e	videos	general	film	important	u	once	starting	search	two	share	needs	coming	through	late	good	house	hard	idea	done	least	part	built	build	most	services	please	point	simple	simply	create	understand	fun	itself	spend	ceo	source	big	bit	google	often	back	decision	forward	single	entire	access	others	account	bunch	ll	day	red	text	national	taking	value	almost	again	ios	thought	add	happens	buy	minutes	special	under	every	school	street	would	phone	must	me	my	keep	end	writing	each	got	free	days	already	top	too	took	talking	though	earth	watch	report	public	full	news	conference	several	social	everything	head	hear	check	no	focus	cool	posts	quick	goes	water	post	today	local	information	platform	happened	name	turn	place	given	released	computer	any	ideas	sure	later	state	ways	review	outside	come	case	myself	someone	events	week	without	seems	blog	os	everyone	longer	follow	program	far	list	design	version	options	court	rather	short	might	wouldn	number	expect	friday	feel	story	kind	nothing	his	hit	b	wrote	art	recently	reasons	political	questions	customers	question	fast	called	users	helping	issues	notes	find	apple	heart	app	use	few	women	getting	something	six	instead	light	looks	our	york	g	their	which	who	why	view	stories	job	april	gets	book	know	press	because	lead	says	own	friends	apps	made	whether	percent	other
Schneier on Security	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	3	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	2	1	0	4	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	4	4	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	5	0	0	3	0	0	0	1	0	2	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	0	3	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	2	0	0	2	3	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	5	3
The Superficial - Because You're Ugly	1	2	1	13	0	1	0	1	1	2	3	0	0	8	2	0	0	0	0	0	1	1	0	0	3	0	4	0	0	4	4	9	0	0	1	1	0	2	0	1	1	1	0	1	0	4	3	0	0	1	1	1	1	1	0	2	0	0	0	3	3	0	0	0	2	0	4	0	0	0	2	0	0	0	24	0	1	0	0	0	0	0	0	1	0	0	4	0	0	0	2	1	0	3	0	0	0	2	1	0	0	1	1	0	5	0	0	0	0	0	0	1	0	2	3	0	0	0	2	2	0	0	0	2	3	1	0	0	3	0	1	0	2	0	0	0	0	0	0	0	1	3	0	0	1	0	0	1	8	0	1	0	0	1	0	1	0	1	0	0	2	0	0	1	1	0	1	5	0	0	2	4	0	2	3	2	0	0	2	0	2	2	5	0	1	0	1	0	1	0	0	0	0	2	1	0	1	0	3	2	2	8	4	0	1	0	0	2	1	2	0	0	2	2	3	0	0	4	0	2	2	40	1	0	1	0	0	0	1	0	0	0	3	0	1	1	0	1	0	1	1	4	0	1	1	0	0	0	0	0	2	1	1	1	2	2	0	3	1	3	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	2	1	1	1	0	1	20	0	2	0	0	0	3	0	0	8	0	4	1	1	0	0	4	0	0	0	0	1	1	1	1	0	0	1	0	4	2	1	1	0	0	5	1	0	2	1	2	2	2	2	0	0	2	3	2	4	0	0	1	1	0	1	0	1	1	0	0	0	3	0	2	1	2	2	5	3	3	0	2	0	0	0	2	8	0	1	0	1	3	2	0	1	0	0	0	1	0	0	0	0	0	2	0	4	2	1	1	0	5	0	0	1	2	0	8	0	2	0	1	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	0	0	1	0	0	0	4	0	0	2	2	0	0	1	1	4	10	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	2	0	0	3	0	1	8	6	2	0	0	0	8	1	2	1	1	2	0	0	2	0	0	0	0	2	6	0	0	0	2	0	0	0	2	0	0	3	1	0	3	4	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	2	2	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	3	3	0	3	6	1	0	0	1	0	2	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	3	2	0	2	0	3	4	1	2	2	9	12	4	0	0	0	0	0	0	5	0	13	1	2	2	1	0	0	0	0	6
Search Engine Roundtable	0	0	0	3	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	2	2	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	2
Copyblogger	0	1	0	4	0	0	0	0	8	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	10	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	7	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	5	0	0	0	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	2	1	0	1	0	0	15	0	0	0	6	0	0	0	2	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	6	0	1	0	2	0	0	0	0	11	1	0	0	0	0	2	0	0	0	2	1	0	0	10	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	1	10	0	1	1	0	1	0	0	0	0	5	0	7	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0	0	7	0	2	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	1	0	1	0	0	7	0	0	0	14	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	14	0	0	0	1	0	3	0	4	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	2	1	17	4	2	0	0	0	1	2	0	3	0	0	1	3	0	0	0	4	1
John Battelle's Search Blog	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	1	0	0	0	0	4	2	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	9	0	0	0	0	0	0	0	0	2	0	1	2	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	3	0	0	0	1	6	0	0	1	0	0	0	3	0	1	0	0	0	1	0	0	1	3	3	0	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	0	0	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	3	0	6	0	0	0	1	3	0	0	0	0	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	20	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	22	0	3	1	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	20	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	2	12	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	21	2	0	3	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	2	0	0	0	7	1	3	0	3	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1
Engadget RSS Feed	0	0	0	0	0	0	0	2	0	2	0	0	1	2	0	4	0	0	0	0	0	1	0	0	1	0	2	0	0	2	1	0	2	0	0	0	0	4	0	0	0	0	1	1	0	0	6	0	0	1	0	0	1	0	0	5	0	1	0	3	2	0	2	2	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	8	3	1	0	1	1	1	1	4	0	1	16	0	2	1	0	0	0	1	3	0	3	1	1	3	6	1	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	1	0	1	0	0	0	4	2	2	0	0	3	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	3	2	0	0	0	4	0	0	2	0	1	0	0	2	2	1	0	0	1	0	0	0	0	0	0	0	2	1	12	3	0	0	0	0	0	0	2	0	1	1	0	1	0	1	0	0	1	0	0	0	4	0	0	1	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	4	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	3	0	0	1	0	1	1	2	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	2	0	2	0	1	1	2	0	0	1	0	0	1	0	1	0	2	0	3	1	2	0	2	0	1	1	0	0	1	4	0	1	0	0	1	0	0	0	2	1	1	0	0	0	0	1	0	0	0	2	0	1	1	0	1	0	0	0	2	3	0	1	0	1	1	1	0	0	0	3	3	0	1	2	0	0	0	0	1	1	0	0	1	1	6	0	2	0	1	0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	2	3	0	0	1	0	0	0	0	3	0	0	1	2	1	0	0	2	3	2	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	1	2	0	0	0	1	0	3	2	2	0	0	1	0	0	0	0	0	0	0	4	2	0	0	4	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	3	1	5	3	4	0	0	1	2	0	0	1	1	0	2	0	1	2	0	0	0	0	1	1	0	2	0	0	0	1	1	1	2	1	1	0	0
TMZ.com	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	2	1	0	1	0	0	0	0	0	2	1	0	0	0	1	0	1	0	2	1	0	0	1	1	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	4	2	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	0	2	1	1	0	0	0	0	2	0	0	1	2	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	2	0	0	0	0	2	0	0	1	2	0	0	1	0	0	1	1	2	0	0	0	1	2	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	7	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	0	0	0	0	4	0	7	2	0	0	1	0	0	1
A Consuming Experience (full feed)	0	0	1	6	0	0	1	0	6	0	0	0	0	1	1	3	0	0	0	1	0	2	0	0	1	3	2	0	0	6	3	3	0	0	2	0	0	1	0	1	1	0	1	4	1	2	0	0	2	17	0	1	1	0	1	1	0	9	3	4	0	0	1	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	3	0	1	0	0	3	3	0	0	0	0	0	7	0	1	3	3	2	0	0	0	0	1	0	11	1	4	0	3	1	2	7	0	0	2	0	0	1	2	0	0	0	0	0	0	3	1	0	2	0	3	0	0	2	0	0	7	2	1	0	2	6	0	5	0	1	0	0	0	0	3	0	2	1	5	0	1	9	0	20	5	0	9	0	10	21	8	0	2	2	1	1	0	0	2	0	1	0	1	0	0	5	3	1	0	0	9	0	0	0	1	0	0	1	5	3	11	2	0	3	1	0	1	2	1	1	0	2	0	22	2	2	0	1	1	1	14	0	0	1	0	2	1	1	0	0	0	2	0	0	1	0	3	0	2	1	5	0	4	1	0	0	2	0	5	1	2	0	4	2	0	1	0	0	1	0	5	1	1	0	0	0	1	6	0	4	0	3	0	17	3	0	1	0	1	0	0	1	1	0	0	2	2	1	3	1	1	0	12	1	2	0	1	0	0	0	4	0	0	1	1	0	0	4	0	1	0	0	2	0	2	1	0	2	0	1	6	4	0	4	0	0	0	4	0	0	1	7	5	0	1	0	0	2	15	0	2	8	1	1	7	0	1	1	0	0	4	0	0	0	0	1	1	5	0	1	1	1	0	4	1	1	0	7	8	0	1	1	0	0	2	1	1	0	1	5	1	0	1	0	4	0	0	0	0	0	1	0	1	5	0	0	0	0	0	2	0	6	0	1	3	0	0	0	2	1	2	0	3	2	1	0	0	0	0	0	0	3	2	7	1	4	0	0	2	0	3	3	0	0	3	0	7	20	0	1	1	0	6	0	1	9	0	5	1	0	3	1	0	0	1	4	0	6	20	3	3	0	1	1	6	0	2	2	5	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	3	0	3	1	0	5	1	1	0	1	0	1	1	3	0	4	0	3	4	0	0	0	0	1	4	1	2	0	1	0	0	1	1	2	0	3	0	0	0	0	0	1	1	2	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	12	0	0	2	14	1	0	2	1	0	5	0	0	0	0	0	2	15	1	1	7	0	0	0	0	0	3	8	1	0	2	3	0	1	0	1	0	5
Latest from Crooks and Liars	0	0	1	1	1	0	0	0	2	0	0	0	0	3	2	0	0	0	0	0	0	1	4	0	0	0	4	0	0	8	0	7	3	0	1	0	0	5	0	0	1	0	0	1	1	1	0	1	1	1	1	0	3	0	1	1	0	0	0	3	2	3	3	0	0	0	2	2	0	0	1	2	0	0	12	0	0	3	0	0	1	0	0	0	1	4	0	0	0	13	1	0	0	0	0	0	1	1	1	3	0	1	0	0	2	2	1	0	0	1	0	0	1	0	0	1	0	0	4	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	1	1	1	0	0	0	0	1	0	3	1	5	1	1	2	0	0	2	2	0	0	1	0	0	0	3	3	0	0	2	4	2	2	5	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	0	3	1	2	0	1	0	0	0	1	0	0	0	5	1	0	1	1	0	0	1	8	0	0	0	0	1	2	1	0	0	0	0	1	1	2	0	1	1	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	5	2	0	0	2	0	1	0	0	0	0	2	1	0	0	1	0	0	6	0	1	1	0	0	1	1	8	0	2	2	0	0	13	0	0	5	0	0	0	3	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	3	1	3	1	2	0	8	3	0	0	1	2	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	1	2	0	0	1	0	0	0	1	3	4	2	0	1	3	0	4	0	0	1	5	2	2	0	0	0	0	6	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	1	1	2	1	0	0	1	1	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	5	0	0	2	2	1	2	0	0	0	1	0	1	1	1	1	2	0	0	0	0	3	1	5	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	1	12	0	0	1	0	1	0	2	0	0	0	0	4	0	0	2	0	0	0	0	0	1	1	0	0	0	0	3	0	0	4	2	0	11	2	4	2	0	0	0	0	1	1	5	0	4	0	2	3	0	0	1	0	0	5
SimpleBits	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	3	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	1	0	3	0	0	0	3	0	1	9	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	2	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	2	0	0	2	0	0	0
